Downtime_Minutes,Users_Affected,Transactions,Financial_Loss_INR,Data_Risk_Transactions_Lost
58.08,31152,2108,94972,1558
22.11,11446,1901,37595,1161
1.97,14952,1609,38087,528
53.4,49982,8576,162356,6884
27.41,7167,1164,27330,799
3.66,31585,4579,86415,3387
2.96,9789,1868,29172,1611
72.11,17901,1160,72221,529
33.19,40635,6899,125324,4510
53.03,24372,3670,86404,2774
63.35,3863,375,34814,227
25.44,39796,5248,112248,3104
21.86,30175,4426,87590,3794
16.89,28792,4619,84148,2060
11.44,26649,2080,65631,1438
17.11,978,63,5808,55
44.6,28948,1890,82238,816
27.63,30841,2901,83450,1675
66.91,19368,1416,73184,1253
17.58,10887,1419,32553,456
28.03,41720,4820,114958,3267
29.93,31771,5844,100950,3171
26.87,11436,1802,38847,1374
36.38,27838,2251,77904,1111
8.13,13587,772,32193,404
21.55,40239,6292,116938,3834
3.3,34137,6037,98759,3063
14.56,12998,2016,38853,918
20.06,17778,2605,53074,1336
31.69,43151,3771,114075,3185
90.19,18241,2265,90634,1145
27.54,10256,1628,35877,1366
40.83,24260,1916,71144,810
21.17,12935,1571,38596,1104
30.16,9483,640,30448,478
2.21,39446,5112,104615,1875
8.81,24664,3355,67409,2101
13.48,42113,5487,114134,1689
19.19,19325,2327,54487,1994
1.4,38584,5329,103895,3274
4.53,20046,3999,60568,1287
9.72,28380,4069,78620,2888
106.77,42882,6984,175846,5806
12.07,26395,2080,65287,1544
19.74,32800,4247,91218,1614
6.55,47988,2453,109078,1530
28.31,35636,1949,88547,1441
9.88,32709,3217,83056,2510
6.96,48609,5832,127295,1805
21.81,9851,1343,31508,631
0.17,9028,1653,26324,1373
0.23,6242,1034,17659,470
7.42,46055,4375,114995,2552
1.12,16357,2642,45983,1896
3.43,22750,3012,60877,2684
12.41,38281,6388,110688,3548
48.67,23312,2602,76612,1566
25.46,2290,146,11734,92
21.56,1102,157,7995,69
10.42,44045,5882,119182,3065
80.54,42982,8297,163588,4651
15.18,23138,1719,57826,535
2.73,8194,1216,22693,370
28.8,22551,2731,66483,1186
3.63,3852,411,10104,249
12.7,20621,3488,60945,3046
21.24,27868,4782,84541,4225
62.2,28510,4481,103950,3084
20.41,37306,2333,90887,1857
36.35,4527,460,22310,386
148.08,5656,322,103020,258
4.23,41400,4204,104254,2632
9.64,18872,2777,53124,2006
15.05,28163,3599,77241,1087
16.44,39860,6195,114026,4267
15.88,22809,3027,63917,1681
71.45,15419,2056,71317,1412
37.56,5483,694,25943,497
28.09,1333,139,10803,49
11.1,27246,3187,72277,2628
52.08,24813,1659,76714,672
93.07,48445,8486,184215,2599
51.64,43858,8042,146482,4486
0.05,14889,2455,42053,868
30.35,3030,416,16500,363
1.57,12212,1653,32787,777
8.94,12474,1503,33798,652
1.84,31112,2635,75523,1204
27.77,18623,2003,54579,941
34.81,24883,4938,84723,1666
3.65,15663,1125,37299,702
14.53,43293,5688,117794,1767
18.28,10142,1825,33315,1365
13.82,43263,5102,114603,3880
3.87,22920,3228,62360,1742
16.29,31352,5460,93290,4818
41.73,2308,304,19614,233
2.21,40421,6456,113286,2413
2.51,13896,1418,35080,1259
13.14,38490,6156,110142,4968
85.28,25526,1433,97592,1035
33.13,22770,1660,63374,1148
34.06,24420,3555,76553,2356
13.48,20174,2367,54657,2116
27.02,28031,4884,87503,2867
0.31,19093,1934,47864,772
30.33,33091,5462,101842,2603
73.35,15103,1070,66969,561
28.45,47596,9020,147878,4418
62.07,14843,1673,62503,532
38.62,14107,1193,46178,410
3.85,24400,4108,69718,1244
69.82,45452,8735,163750,6179
2.06,41382,7767,121747,5426
22.9,16275,1394,45001,475
4.6,6073,915,17214,447
0.35,9803,1294,26086,607
16.45,32413,5146,93891,2944
10.49,18570,2284,50258,1176
19.97,29276,3526,80642,2793
25.83,23380,4264,74642,3537
1.34,23967,4330,69661,1834
3.94,40531,6814,115522,2538
24.54,21945,3417,67052,2745
12.61,16341,2479,47315,1489
39.19,35155,2054,92846,1015
31.69,8978,1458,34166,482
56.05,10309,1502,49107,996
35.38,28599,2727,81354,1157
16.86,37703,6523,111482,2104
33.53,35402,6190,111462,3509
9.66,11104,2107,34244,1387
10.97,30687,3460,80491,1393
46.67,33490,4443,105138,3069
17.74,28500,5297,87221,2189
48.04,11075,1080,44199,337
51.85,12685,2150,54788,837
58.47,6976,1386,43234,903
74.54,48204,7124,164202,4852
16.92,13699,2706,44406,2215
11.52,25339,3227,68767,1088
26.18,44006,3210,110760,2798
13.92,20478,1563,51366,958
27.57,26668,4259,81868,1905
36.68,31610,1584,82248,822
34.98,35562,5308,108008,1769
14.08,20788,1511,51772,553
5.48,21896,4327,66067,3588
16.89,41578,3096,102107,1125
4.62,30896,4105,82812,1369
66.24,20917,3146,84522,2073
12.73,10161,1757,31378,930
5.03,24501,2912,64126,1582
0.77,3910,743,11569,276
31.14,33780,4122,96858,1345
30.39,23926,2100,66729,1720
12.49,5002,695,15686,370
2.23,19712,2931,54245,1072
15.81,49823,6283,134204,2639
11.18,10763,1721,32001,622
33.91,14067,1591,45964,933
27.93,47876,2424,115250,1895
13.6,40636,3644,102001,1953
7.37,5235,1004,16490,674
132.78,14172,2331,116496,1643
18.15,41157,3227,102316,2346
34.97,20517,1230,57523,815
4.54,6543,671,16925,424
19.94,37710,6616,112952,3883
0.84,22025,1451,51343,847
21.12,30102,3958,84848,1978
99.74,36895,3366,140426,2028
14.55,31093,4941,89664,2902
1.19,360,18,875,8
0.94,9227,844,22719,405
14.73,49583,7531,139647,4274
5.23,37078,4894,99224,3826
0.71,24943,4161,70720,1866
42.34,32940,2426,91787,1958
18.4,37979,4923,104520,3615
10.24,3021,239,8876,109
69.1,43513,6347,147482,1956
3.7,3988,277,9717,95
93.65,277,20,45969,16
11.3,7526,746,20682,584
65.79,4595,506,38399,267
27.71,33137,4134,94237,1393
52.58,10147,1391,46314,1094
124.08,18139,2182,116294,988
10.21,35401,2012,82492,1754
97.43,48807,4954,170469,3040
14.8,45214,2676,106655,1951
14.61,21466,1453,52988,838
12.48,20845,1332,50555,421
23.39,43182,3183,107934,1075
5.02,11453,1969,33313,1743
24.2,25180,3629,74458,1986
23.41,18888,2380,55338,975
43.05,35069,5605,112287,4103
53.81,5759,1118,36844,927
17.42,34021,3832,90836,1763
10.8,4261,447,12531,287
9.01,15603,3068,47897,1372
6.49,27103,4490,77483,3562
1.78,25082,4177,71167,1470
12.58,3578,500,11886,261
9.45,28720,3620,76992,1911
101.81,49528,6566,183251,4479
24.47,35229,5207,102546,2118
12.8,27272,2905,71358,1699
26.06,10260,1716,35751,1083
4.5,35314,6581,104009,5492
17.61,12031,1632,35917,1005
29.52,31270,3352,87320,1270
20.14,31290,4829,91242,1742
15.41,7701,595,21402,508
152.73,37919,7405,207239,6574
63.69,3617,537,35331,214
29.3,4902,294,19203,220
25.28,45258,5859,126164,2639
29.08,18859,3065,60883,2451
6.74,7950,728,20415,260
15.08,6844,394,18586,221
1.21,22873,2821,59917,1855
19.36,48285,8451,143084,6857
23.49,6348,556,21169,452
7.75,48296,7609,135716,3124
99.75,7236,804,68305,707
72.06,42385,2498,127843,1706
38.42,11900,1137,41391,790
22.87,13517,1312,39061,1093
61.2,25405,4717,98333,2321
4.2,36835,7266,110430,3989
46.89,45229,3684,124933,3282
4.0,37819,4333,97702,1342
47.43,4102,806,28564,661
9.68,2432,270,7719,217
62.89,26249,2687,90869,1229
86.49,44328,2947,143612,2337
4.83,4475,729,13126,363
18.63,29558,3459,80433,2343
118.88,33553,4892,156374,2779
19.82,20372,2576,58034,929
59.75,17452,1329,64643,1112
26.66,2133,163,11961,102
14.12,39943,7627,120672,4492
10.1,21745,3988,65034,3300
6.82,25443,3602,69785,1789
43.04,47515,2384,121067,1531
14.66,745,85,4721,70
21.48,31875,4129,89372,2088
20.34,4221,495,15502,384
25.83,8212,1550,30738,943
60.2,9371,525,44722,207
118.49,39304,5826,172228,1889
15.71,25312,2457,66021,1808
52.72,45385,6078,140301,2778
43.38,10392,1542,42782,1217
25.57,23581,2738,67315,1131
93.74,41160,2974,142568,1905
6.71,38454,4916,102357,1750
3.47,28593,5431,84664,4026
57.72,29575,3856,100354,2928
17.35,968,66,5879,56
56.31,47470,8241,157274,5247
67.07,38782,3229,121174,1174
1.93,8313,877,21145,698
64.49,22839,2610,84620,1274
17.84,2003,202,8784,169
21.43,35444,3922,95457,3477
29.55,47591,8058,143504,3057
78.27,36977,3087,124009,1079
0.58,21098,2543,54933,2132
19.44,18419,976,46002,819
34.92,33483,4223,98396,2749
38.48,21541,1437,62202,1196
35.38,10742,991,36961,850
4.33,11876,1172,30062,742
10.67,24962,1556,59447,1107
13.33,31203,3247,81073,2169
48.96,11610,1447,47582,585
9.8,34791,3989,91061,2240
7.1,13502,1243,34164,881
94.71,6555,617,62281,411
0.27,40472,5869,110295,2518
183.86,41020,6471,239052,5473
33.89,2873,392,17569,302
52.89,43150,8475,147907,2890
10.47,27477,5268,82988,2667
0.43,9876,639,22961,573
40.17,32159,2868,91386,1531
53.9,29505,5318,105385,3712
40.47,243,13,13422,4
4.62,25798,3581,69998,1742
42.0,17183,3319,64572,2752
43.95,45269,6872,139466,4166
32.24,22802,1454,62025,1156
43.59,33138,5374,107534,1636
56.11,41122,4378,125148,3063
28.53,1107,208,10872,99
2.78,27519,2557,68055,2087
20.06,46583,5635,125833,4882
2.42,43332,7019,121947,5001
15.7,10274,910,28209,352
15.68,30980,2393,77030,1390
2.05,7303,368,16592,212
12.87,36592,4507,98027,3597
3.53,29089,5506,86039,3173
49.54,27431,2529,84943,1263
88.52,44794,2531,143882,1687
2.25,23083,3302,62844,2272
93.11,29835,1743,113307,1369
22.18,40785,5140,112493,4318
10.68,20993,2251,54986,1877
2.4,15839,1921,41468,1298
20.83,30017,2233,75953,1372
47.47,20804,1321,64566,1031
36.84,30252,4911,96237,2377
1.55,47483,4123,115677,3111
2.27,38340,6520,109451,3935
15.47,7306,1196,23633,447
10.5,23356,1862,57722,1399
7.93,24407,4545,72656,3131
9.9,4816,357,12973,124
48.81,35488,6017,118111,3431
79.45,19020,2150,84197,1272
15.58,37971,2940,93717,2034
70.97,43028,8206,156979,5802
11.64,23564,4582,72022,1898
19.41,38185,4838,104836,1549
7.69,13687,1647,36674,1278
30.69,1295,239,12285,212
115.87,25183,3511,130283,3034
27.75,49656,4464,128941,2680
13.29,22538,2564,60317,1582
31.31,20109,3527,66612,3027
3.93,40736,7289,118307,4566
65.85,35687,6812,132154,3178
20.98,21243,1980,57190,1398
17.9,13796,2096,41858,1228
26.45,7664,461,24433,355
29.41,3737,593,18412,456
2.23,34741,4671,93004,4024
34.43,17890,1564,53700,598
8.31,28259,4187,78650,2565
37.55,5614,394,24702,303
51.87,34445,3446,104798,1932
48.88,21863,2407,72849,1627
24.12,12668,2110,41809,1667
22.03,28103,2706,74905,1580
4.63,5411,310,12869,168
44.8,41696,3215,114457,1312
9.5,38415,5424,105413,4310
20.6,17291,904,43775,702
10.03,21008,3546,61335,2644
4.31,1515,280,4877,150
29.79,40376,5019,113977,3261
1.68,47750,7455,132883,2791
41.43,18933,2260,62497,1111
11.46,15506,1493,40417,838
0.0,29436,2199,69867,717
21.47,29521,3770,82866,1365
1.44,36364,6890,107264,5497
9.7,11880,2179,36164,1923
36.83,39971,7512,128675,3704
1.94,12321,2402,36787,874
54.85,21216,1587,70680,1366
0.11,39890,2871,94136,2436
8.5,40363,4608,105005,3192
40.52,14522,2227,53073,1120
11.41,41574,4820,109174,1771
3.22,21583,3968,63295,3427
13.4,40200,6335,114527,5398
9.46,5516,800,16486,596
55.49,15351,931,56024,800
11.28,27174,2073,66606,795
46.67,46640,5327,135855,1947
66.73,12264,2409,63830,1000
17.07,2568,257,9945,110
72.22,43755,6322,149806,5034
14.21,2127,421,9037,359
99.79,23655,2119,107749,909
2.81,12044,903,28838,521
34.85,415,54,11385,30
20.43,14233,1889,42526,768
14.71,36857,6939,111230,5634
30.05,33398,1802,84041,1105
36.51,24368,2707,73300,1731
0.13,43462,4209,107971,1915
5.48,4857,658,13645,418
37.45,40740,2094,103410,1623
32.93,48366,7576,144061,3658
101.48,30067,3690,129700,1357
42.94,25895,4016,85940,2612
90.34,28898,3386,117658,2307
36.37,42826,5187,122555,2184
10.62,33935,6255,100874,2808
3.34,31561,2576,76307,1009
45.67,33595,2775,96498,2366
31.0,16727,2240,53282,958
1.48,26461,3943,72727,1208
13.39,811,83,4487,66
94.26,11185,1430,75275,1118
20.82,27826,2342,72111,1344
17.01,8024,564,22374,438
18.36,15649,1341,41935,764
7.03,8562,1604,26075,697
13.8,42857,7297,124762,4054
13.85,2660,188,8837,111
1.61,21623,1232,49508,376
43.77,20044,1282,60979,471
16.16,2277,214,8872,176
51.81,20198,3468,76381,1856
56.98,35946,3530,111049,1761
7.15,27575,2146,66835,1787
32.13,42836,4685,118203,1839
19.18,32547,2232,80452,960
63.65,21516,2593,81385,2066
7.29,14220,2151,40179,1006
33.98,3048,321,17604,218
28.08,2620,199,13673,148
10.5,7369,869,20784,376
4.41,27061,4448,76824,2010
31.64,13436,826,39898,503
40.25,45298,2746,117094,2129
11.38,14120,1379,37053,872
31.05,27380,3073,78778,1046
15.08,43578,3593,108049,1834
37.47,16846,910,49710,453
6.66,2356,195,6547,152
66.28,40220,4637,130603,2197
10.17,27812,1721,65849,1446
13.76,12936,2035,38597,1019
1.8,25811,3428,68882,1427
3.55,4458,513,11815,320
21.76,11439,1461,35258,777
9.34,32139,4768,89545,3283
54.14,21345,4252,83869,3611
0.44,47351,7872,134076,6805
14.3,17359,2274,48791,992
12.35,7229,1196,22606,475
0.59,48889,5929,127445,5122
3.98,42212,4079,105216,3212
16.01,40673,3631,102705,1659
20.37,41688,4582,110882,3587
15.54,11311,569,28530,423
22.71,30297,2319,77600,1048
27.13,15728,1084,43939,914
0.3,26400,5122,78418,2525
18.71,45808,2735,109338,1608
99.31,47192,5905,173394,3930
21.96,17612,3310,56918,1372
33.95,21045,2970,66832,1980
11.21,41823,5198,111513,3762
44.62,33887,5471,110029,1974
44.47,21508,2215,68920,1168
22.1,48508,3834,121380,2558
111.91,20411,3614,118084,3092
4.02,35709,2088,82261,1742
0.51,11239,1923,32111,772
44.11,38345,2511,103893,1673
49.38,41734,6002,130825,2153
3.84,17710,2152,46556,1025
9.26,29052,5804,88532,3821
0.53,13668,1478,34745,515
10.41,24999,4839,75873,4032
44.5,43898,4853,126905,3869
21.89,12102,1842,38535,1075
12.84,7629,1118,23147,665
13.94,18169,1144,44661,948
0.04,48578,7845,136381,2590
10.69,3812,309,10916,119
31.19,39926,4322,110172,2095
109.71,19428,3250,112566,1685
56.33,17811,3413,73826,3045
0.72,6006,804,16062,312
68.65,29207,3735,105528,1799
45.86,17913,2252,62615,1794
45.48,9253,1596,41819,1229
18.37,46313,9214,142634,6384
15.23,31779,4609,89573,2291
10.83,29688,3170,77006,1175
2.04,48196,3990,116487,3551
7.77,23870,1905,58348,858
8.49,18952,3381,56046,2727
19.85,47522,9449,146712,7908
41.28,19712,3049,67931,1721
19.26,31007,5995,96216,4858
1.79,30271,3102,76171,1449
94.95,15548,2241,88563,1868
85.8,4066,515,50442,351
46.14,41976,5133,125287,2138
142.43,21501,3114,143562,2403
23.59,21639,2089,59451,1771
98.72,34118,4984,142197,3201
2.36,4788,722,13367,545
13.66,20557,3606,61667,2801
7.66,36655,5849,103615,4518
6.54,41999,4114,105403,2355
4.55,31479,3702,81953,2754
29.22,10570,719,32631,452
45.6,38526,3413,109515,1873
25.9,9293,1190,31127,475
4.77,35080,2284,82100,1930
50.0,39735,5387,124082,2957
30.31,39831,4323,109622,1918
14.74,22177,1224,53303,545
33.64,44197,5090,123598,2266
9.03,36859,3397,92059,1024
12.7,9395,564,23873,317
74.84,14835,1394,69014,1163
10.3,47111,4433,118038,1396
19.05,45285,4676,118105,4086
66.26,3132,328,34869,133
36.9,43873,5021,124059,3671
1.93,36771,2345,85400,1808
4.78,45119,2291,102215,1697
0.24,29997,4811,84054,2422
29.9,25936,2609,73092,1884
17.81,36538,5189,102778,3029
4.33,21378,2053,53470,803
95.06,22002,4348,112081,1828
22.63,36191,3521,95369,1111
8.31,7220,1016,20717,507
20.83,7959,660,23971,486
34.15,32967,4208,96951,3709
2.38,30711,4204,82625,1598
9.64,36524,2827,88678,1447
49.35,45577,3124,124106,1277
18.47,6886,1349,24484,1020
23.73,33561,6174,103771,5258
17.01,21285,3171,61933,1168
1.35,41077,7359,119027,6197
5.44,31290,2013,73278,931
17.69,3809,607,14374,263
7.04,19254,1787,48377,596
1.54,20959,2744,55733,955
55.67,47711,7859,155485,2684
119.21,4309,237,74877,134
47.27,23479,3621,81313,2517
57.68,14946,1722,60405,707
8.31,18103,2099,47899,903
97.04,25526,4750,122598,1917
6.58,42956,7687,125190,6026
90.74,25651,1503,102037,574
157.88,19000,2712,150752,933
37.31,12480,1439,43552,463
119.13,9807,663,87940,214
25.29,24479,4348,77055,2730
9.01,25168,1528,59329,544
17.23,7006,384,19509,166
27.01,15995,1273,45373,1017
2.28,19520,1864,48531,1641
29.21,15312,905,43043,738
119.18,14423,2108,104441,1846
6.33,33034,3817,85948,2680
47.19,7448,832,35265,742
71.55,675,48,31848,28
86.31,40039,4631,143327,3597
96.67,15848,1719,87813,1517
22.11,3443,370,13934,268
113.57,42215,3494,162417,3053
42.48,25491,1635,73000,739
5.29,22507,2005,55647,962
19.44,42595,6393,121440,3441
38.01,43793,2668,112643,1544
8.52,40847,4384,104858,3675
30.7,9254,1176,32893,979
32.95,21655,4211,73823,2925
5.33,26723,4718,77650,2072
24.98,38277,7176,118675,3187
44.3,37409,6471,121917,4394
20.73,20344,2814,59476,1694
0.37,28027,5020,81165,2284
0.27,1167,157,3126,62
13.25,17365,1800,46141,1320
78.19,7009,741,52292,583
7.79,21516,2900,58618,1324
30.18,14336,2457,49248,1363
7.53,31465,2204,74983,1604
11.64,26225,1465,61761,851
56.52,11029,1857,52591,1628
39.15,41160,6056,124849,2287
3.01,31511,5457,90567,4434
16.8,15419,3029,49424,1464
0.89,35684,3129,87054,2228
19.67,6511,515,19958,232
32.58,31702,3206,88732,2820
3.78,48589,8828,141686,2913
10.23,49659,2586,113883,1572
15.22,7304,376,19455,318
75.6,18999,1567,78697,911
149.97,24617,2618,154151,2105
1.38,34607,3299,85789,2869
42.94,4152,721,25977,245
13.94,49510,7597,139608,4507
14.95,38654,6790,114148,4833
42.11,12113,1302,44396,1040
75.19,45464,6336,155205,2521
90.43,37588,4785,142101,3062
25.82,47313,5734,129856,2280
13.25,36594,3411,92655,2569
46.47,778,121,18000,56
8.67,30452,3916,81760,1806
24.91,45897,2835,112184,2159
13.32,9198,460,23127,370
32.07,8559,454,28468,229
8.25,38994,2393,91137,1437
6.38,27779,2934,71033,2100
75.12,32766,3140,113785,2345
3.22,13327,979,31838,746
21.15,5006,637,18061,340
7.49,7998,1563,24835,971
1.19,47307,3505,112204,1281
1.1,33984,2976,82905,2586
5.78,6444,768,17422,553
60.47,41958,6131,138082,3220
9.96,27466,3846,75733,2052
90.15,46080,5906,164486,2092
26.14,46946,7539,138269,4328
17.21,10936,1934,35112,1361
26.03,17542,3505,59249,3054
21.81,49939,5984,134891,4120
42.66,41020,8172,136832,5642
9.96,41847,6677,118650,5153
13.06,12786,1900,37433,1151
67.36,43704,6378,146937,2036
87.82,10456,1951,71814,1626
66.92,41263,7930,149550,4293
16.31,27893,2141,69785,1907
45.47,2591,321,22119,174
19.41,21306,4074,67256,2855
20.65,14028,1505,40271,866
6.87,39872,3385,97569,1487
26.83,11660,762,34078,654
6.18,7111,992,19949,670
12.08,22184,3439,63663,1961
57.94,44618,3539,128980,1367
6.96,28733,4339,80079,3902
2.21,4962,917,14673,767
2.15,38218,3307,93128,1830
84.8,12782,873,68971,351
21.21,45403,7959,135485,2529
15.8,11803,2212,37805,865
49.96,42479,3493,120079,2167
54.2,15196,2404,62365,1897
12.11,14206,1969,40364,1020
35.49,455,39,11675,21
44.24,8532,1480,39175,864
31.9,15800,1904,50126,591
4.93,25296,3922,70749,1593
62.6,31750,3023,103377,1815
23.24,46718,8052,139296,3765
9.96,17338,1554,44017,954
16.61,44803,4691,116446,1711
1.15,27876,3030,70963,2368
4.1,6804,550,16773,423
43.51,20108,3642,72778,2556
0.0,15479,1037,36143,641
16.16,42120,5663,115804,3023
22.18,8673,1492,30027,1058
1.69,22515,3087,60574,2374
108.44,22666,2244,113017,1761
7.69,1232,205,4555,104
10.88,48402,6044,128818,2516
10.87,43898,3268,105927,1650
7.86,34947,3408,88035,1038
0.04,1044,144,2808,79
39.21,5940,883,28569,409
102.2,39542,5228,156880,4046
7.62,43589,3957,108014,2789
32.63,45361,6308,131583,1990
40.63,44378,4431,123860,1712
56.6,33702,2822,102805,1764
16.48,20234,3881,63217,2603
10.83,4284,416,12429,316
11.8,28063,2815,72228,2479
37.41,7278,1342,32706,967
50.91,5268,376,30579,235
6.01,32754,4509,88790,2473
13.91,5091,853,17039,633
69.67,8246,750,49315,645
49.3,46752,8256,152094,4571
125.71,5390,891,85707,579
42.1,24649,3029,78102,1284
14.99,14944,1013,37853,825
26.79,28982,5666,93228,4125
32.45,41019,5891,120737,3021
2.45,128,16,527,13
23.59,18344,3353,59181,2959
37.07,8034,909,31896,430
5.49,29945,4028,80673,1659
45.51,35440,6335,117905,5062
26.3,48149,5245,129265,3406
91.24,40919,6786,159340,5636
1.3,20498,1812,50130,921
9.25,30161,4685,85153,3039
27.61,2227,281,13111,181
10.55,10183,761,25885,314
37.6,19191,1351,56663,1209
42.69,10033,1190,39962,831
3.24,15977,2502,44756,1747
21.64,34681,4872,98754,2329
21.33,12619,2248,41404,1551
13.83,7916,858,22692,686
81.06,8451,1491,60846,1175
52.72,15748,874,55006,744
35.84,44102,4625,122057,1800
37.59,27561,1679,75039,687
18.58,41364,7771,125587,5642
76.15,45001,5458,150515,4282
35.58,41459,4039,113726,2845
39.17,44580,5522,129026,2129
59.35,39117,5082,126504,3338
9.61,15541,2749,46316,2059
49.36,39353,5169,121891,1975
6.52,9277,1064,24705,354
12.71,34673,6733,105276,3049
12.27,21531,4204,66230,1490
115.23,22024,1228,112032,477
58.25,34964,5455,119431,2302
36.24,12593,1331,42747,823
38.95,5437,822,27140,323
24.77,16135,2348,50174,1556
88.18,23418,2330,99885,1105
20.57,42405,8396,131454,4083
14.37,41290,4276,106682,3764
5.34,3882,562,11190,440
46.28,13898,2390,55489,1325
39.78,19984,1435,59686,815
14.55,9174,872,25483,321
0.77,27449,2191,65886,1767
54.79,27007,4517,96876,1365
0.34,22089,3759,62983,1453
36.49,39287,3472,106955,2154
105.45,8724,441,73799,182
17.27,7989,906,24096,615
8.04,27356,4187,76785,1265
36.61,10555,1513,39750,543
50.97,47300,5527,140429,4193
23.72,11294,1076,33743,695
102.37,21722,2631,108386,820
1.59,27088,1415,61351,599
21.08,7670,468,22520,207
38.02,21587,1606,62927,1299
59.55,717,103,24928,66
5.93,45552,3772,110685,2356
48.28,41377,4696,123009,1653
24.14,47585,6814,135168,4730
15.15,6385,1114,21289,438
4.24,33324,4413,89149,2705
60.14,600,45,24744,29
5.13,29094,5608,86809,4515
11.12,36742,2333,87003,1828
10.28,23114,2428,60015,1005
61.53,5073,954,39051,810
33.51,4874,684,22865,206
47.79,15619,2333,59421,1162
8.65,47217,4497,118190,1528
29.41,20680,1277,55721,935
25.44,23199,2432,64974,1459
53.66,46490,5128,138275,2076
70.96,37584,3402,122066,1194
0.37,42688,3514,102957,1530
33.63,48955,5058,132950,4311
1.6,13402,1955,36679,1381
23.88,3334,641,15707,285
10.17,6594,1025,19935,857
10.99,14339,2393,42465,913
13.06,4598,440,13755,313
29.13,44298,2910,111006,1614
12.2,5367,503,15378,231
39.58,12646,1396,44723,638
15.55,24579,3772,71084,2265
2.12,36537,6975,108103,5990
45.94,9757,1672,43443,1246
10.1,22553,2028,56849,1414
17.01,34829,6026,103295,4973
34.7,46808,5231,129990,3359
12.12,17359,1324,43448,549
1.75,28745,3426,74735,3036
14.05,12193,1639,35213,1017
86.71,8834,1453,65306,710
30.79,3616,370,17626,283
33.39,15132,1089,45358,629
30.01,20983,1346,56917,413
6.66,25694,1718,60836,845
16.26,40101,7719,122074,4433
41.7,26104,5031,90827,2634
3.21,13270,2591,39782,1635
9.77,38815,3701,97660,1517
9.7,17058,1343,42342,864
16.97,17942,3537,57064,3154
117.92,40263,7981,184455,6004
2.1,26175,1616,60581,1148
21.94,26167,4262,78781,1791
5.93,3272,305,8791,197
105.88,36295,6765,160889,5356
3.61,40666,2577,94559,1145
15.51,7836,1436,25904,505
40.17,48358,2436,121625,1698
36.58,31368,4024,93917,2833
16.48,43575,4372,112356,3421
12.76,44611,5090,116951,3449
15.21,4306,495,14051,400
9.21,19448,2879,54687,1323
6.89,36181,1934,82937,621
19.79,47923,7365,137074,5447
9.38,41741,2226,96048,1183
10.17,24954,1941,61234,826
32.08,37326,5263,110051,1741
103.77,18132,1141,94821,859
27.76,29372,5834,95228,4642
2.4,42218,7078,120012,3775
2.36,41052,6397,114270,5316
90.74,48733,4393,162648,2413
10.58,35209,2016,82219,1755
2.9,34706,6830,103808,6078
27.42,5638,406,20484,320
29.32,44337,7740,135310,3511
31.37,9633,767,31884,398
9.33,30892,3278,79600,2031
0.46,5577,859,15464,427
100.59,9463,1815,78440,1436
8.67,12364,654,29273,560
33.81,46404,4135,123313,3686
36.79,11919,1963,44810,984
28.25,12291,934,36759,431
11.26,6599,440,17286,174
9.49,44947,2558,104144,840
27.31,17768,2227,53808,904
60.32,8862,1463,48462,688
87.97,31392,6098,134531,3260
3.36,19348,1743,47718,637
5.05,38913,2654,91662,2102
86.87,45044,4972,155430,3338
40.02,11433,666,38852,424
64.37,30752,3066,102653,1922
6.79,41506,6079,114292,2881
26.57,13170,990,38138,853
36.23,25956,3757,81602,1649
34.19,31728,6212,104513,4355
15.74,37907,6809,112979,3076
0.47,23523,2435,59236,2176
26.23,48133,5449,130229,4615
8.75,25312,2857,66204,1310
17.95,35841,6415,107559,5725
94.8,4726,940,60306,635
15.28,49370,8584,144645,6327
54.94,40867,5464,129415,2566
6.27,2392,154,6338,66
33.48,14959,2889,54050,2354
113.18,30685,5492,149031,2554
3.22,16907,2979,48998,2533
0.25,3919,426,9974,221
17.05,24187,2831,66049,864
2.92,45550,3095,106823,2028
41.4,47653,9086,154052,4653
73.79,1380,264,35775,233
17.08,13341,1176,36090,625
8.98,42879,6620,120203,3235
17.1,14247,1147,37763,733
38.56,19916,2169,62649,1600
0.27,1729,164,4285,144
26.71,38367,4160,104435,1421
28.5,8734,841,29281,463
30.46,3114,316,16212,220
8.31,10873,1833,32109,555
37.56,17981,1708,56010,1013
2.88,8380,1443,24218,1131
6.67,25655,3468,69510,1146
62.98,41521,6936,142713,3498
40.27,20036,3763,71662,2034
0.42,27432,1941,64582,1416
8.57,44688,4539,113324,2167
7.24,27177,1585,63252,709
9.47,7737,859,21227,317
8.53,25055,2144,62076,1924
1.94,20980,2848,56334,1660
18.43,46258,7748,135210,2548
39.59,16255,1998,54952,691
28.0,3160,316,15307,119
33.52,46565,3393,119799,1448
2.54,48181,2602,109574,1936
90.78,40378,6124,154622,3890
54.7,3050,166,27155,127
49.06,47255,8889,156134,2772
51.95,23902,3325,83148,1526
80.96,6163,634,51920,344
23.57,14305,805,38358,448
6.7,44790,5017,115533,1666
28.77,26607,4791,84886,2907
40.75,7761,1517,36111,715
40.17,36289,2276,96689,944
22.11,34858,5806,103944,4079
2.13,13157,1167,32304,408
13.91,20340,2174,54145,1783
76.06,34350,4539,124562,3812
26.34,35413,7054,112856,3494
23.19,37088,3016,94838,2690
9.39,12591,876,31001,473
13.79,33510,4666,92909,4093
